name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,,,,PREDICTED AVERAGE TAKEDOWNS LANDED PER 15 MINUTES,UNIQUE HEIGHTS,UNIQUE WEIGHTS
Mike Ciesnolevicz,,19,4,0,182.88,106.59,,Orthodox,10/28/1979,0.51,50,4.62,57,0,0,20,5.1,,,,1.002465808,,120.66
Magno Almeida,,10,3,0,182.88,70.31,,,,1.67,36,2.6,41,0,0,40,5,,,,1.138837287,,88.45
George Pacurariu,Constantine,10,5,0,170.18,61.23,,,,4.69,53,2.68,63,5.03,100,100,5,,,,1.492774751,,174.63
Ronaldo Candido,Pacman,6,0,0,167.64,56.7,,Southpaw,4/24/1989,1.67,42,3.87,52,8,53,0,5,,,,1.138671503,,119.29
Alex Schoenauer,,15,10,0,190.5,83.91,,Orthodox,5/5/1976,1.22,40,2.27,42,0,0,22,4.9,,,,1.08409655,,58.97
Justin Guthrie,,18,9,0,185.42,77.11,,,,0.16,33,3.74,14,2.44,25,0,4.9,,,,0.960610362,,136.08
Billy Pasulatan,,10,3,0,165.1,56.7,167.64,Switch,8/7/1991,0.65,20,5.22,48,0,0,0,4.9,,,,1.017118551,,113.85
Aaron Ely,The Cyborg,5,2,0,172.72,61.23,,,,0.82,15,0.66,69,2.47,100,50,4.9,,,,1.03745618,,124.74
Shohei Nose,,10,4,2,167.64,61.23,172.72,Switch,10/19/1997,2.48,40,3.61,53,3.23,17,0,4.8,,,,1.231230788,,122.47
TJ Waldburger,,16,9,0,180.34,77.11,190.5,Orthodox,4/25/1988,2.02,51,2.39,40,3.03,46,40,4.8,,,,1.176876455,,103.42
Ronda Rousey,Rowdy,12,2,0,170.18,61.23,167.64,Orthodox,2/1/1987,4.17,52,4.14,44,6.26,68,50,4.8,,,,1.428234919,,88
Nik Theotikos,,6,2,0,,83.91,,Orthodox,,0,0,5.48,19,0,0,0,4.8,,,,0.939857082,,102.51
Valentijn Overeem,,30,32,0,190.5,104.33,,Orthodox,8/17/1976,0.93,34,1.49,58,1.86,50,0,4.7,,,,1.048761314,,87.54
Keith Rockel,Rock,12,4,1,182.88,83.91,,Orthodox,,1.13,73,0.21,66,4.63,75,100,4.6,,,,1.071752804,,80.74
Mark Hughes,,6,2,0,175.26,92.99,,Southpaw,10/13/1973,0.9,47,0.4,42,3,50,0,4.5,,,,1.043608637,,116.57
Jimmy Flick,The Brick,16,7,0,170.18,56.7,172.72,Orthodox,9/7/1990,1.99,50,5.05,38,1.66,27,0,4.4,,,,1.170394067,,151.95
Kaline Medeiros,The Dark Angel,8,5,0,160.02,52.16,,,,2.06,70,0.29,83,4.41,100,0,4.4,,,,1.178459266,,146.51
Takeru Uchida,,6,1,0,165.1,56.7,172.72,Southpaw,9/30/2002,0,0,0,0,0,0,0,4.4,,,,0.936348237,,67.59
Joe Pearson,The Triangular Strangler,45,30,1,177.8,65.77,,Orthodox,3/28/1978,0.59,18,3.51,33,0,0,0,4.4,,,,1.005951714,,93.89
Jordan Bailey,,6,3,0,175.26,65.77,,,,1.74,40,0.29,0,4.35,100,0,4.3,,,,1.140813978,,64.86
Branden Lee Hinkle,The Iron Lion,17,11,0,190.5,106.59,,Orthodox,7/29/1973,2.61,69,3.91,26,4.34,57,66,4.3,,,,1.241711364,,108.41
Goiti Yamauchi,,21,3,0,177.8,65.77,,,,1.66,54,1.01,66,0,0,0,4.3,,,,1.12980836,,103.87
Masakatsu Okuda,,8,5,0,,,,,,0,0,4.27,34,0,0,0,4.3,,,,0.936044509,,129.73
Wayne Cole,,16,25,0,185.42,92.99,,Orthodox,,0.57,20,8.33,27,4.31,25,0,4.3,,,,1.003192721,,195.04
Jason Glaza,,3,2,0,182.88,104.33,,,,4.34,54,0.43,40,4.34,100,0,4.3,,,,1.443356447,,85.28
Bret Bergmark,The Angry Hick,6,1,1,175.26,77.11,,,,2.78,52,2.78,37,4.17,100,50,4.2,,,,1.259743597,,181.44
Genki Sudo,Neo-Samurai,15,4,2,175.26,70.31,,Orthodox,3/8/1978,1.55,39,2.23,33,3.58,60,50,4.2,,,,1.115377986,,98.43
Yasuhito Namekawa,,25,16,4,175.26,92.99,,Orthodox,10/27/1974,0.14,50,3.65,38,2.11,25,0,4.2,,,,0.949802329,,47.63
Sean McCorkle,,17,7,0,200.66,120.2,205.74,Orthodox,7/17/1976,0.85,44,2.48,52,2.12,40,33,4.2,,,,1.032246705,,101.6
Jeremy Lang,,21,2,0,180.34,92.99,,Southpaw,5/11/1975,1.13,50,1.41,42,4.22,60,0,4.2,,,,1.06461166,,176.9
Rene Kronvold,,5,1,0,172.72,77.11,,Orthodox,,0.82,100,2.47,60,0,0,66,4.1,,,,1.027071381,,133.81
Victor Hugo,Striker,24,4,0,170.18,61.23,180.34,Orthodox,11/22/1992,1.24,34,1.1,65,2.06,50,66,4.1,,,,1.076781573,,88.9
Kain Royer,,2,2,0,,83.91,,,,0,0,1.63,14,0,0,0,4.1,,,,0.930852474,,89.36
Rousimar Palhares,Toquinho,19,8,0,172.72,77.11,180.34,Orthodox,2/26/1980,1.75,51,2.04,59,3.93,45,0,4.1,,,,1.136659792,,75.75
Clay Mitchell,,1,2,0,187.96,83.91,,,,1.63,85,0,0,0,0,100,4.1,,,,1.12178875,,131.54
Karine Silva,Killer,17,4,0,165.1,56.7,170.18,Orthodox,12/2/1993,3.37,35,3.37,50,2.45,60,0,4.1,,,,1.326281374,,110.68
Dustin Hazelett,McLovin,12,7,0,185.42,77.11,193.04,Orthodox,4/29/1986,2.24,40,3.51,46,0.55,50,25,4.1,,,,1.19342517,,96.16
HanSeul Kim,Spade,13,5,0,185.42,77.11,187.96,Southpaw,6/19/1990,6.93,45,8.09,50,0,0,0,4,,,,1.743551547,,117.48
Shinya Aoki,Tobikan Judan,39,7,0,180.34,69.85,,Southpaw,5/9/1983,0.97,58,1.25,58,2.54,41,60,4,,,,1.044371821,,84.37
Marcus Hicks,The Wrecking Ball,10,4,0,167.64,70.31,162.56,Southpaw,11/25/1975,1.42,43,3.06,61,2.7,53,25,4,,,,1.096842677,,145.15
Dan Evensen,The Viking,11,4,0,190.5,113.4,,Orthodox,6/1/1974,0.27,10,3.86,38,0,0,0,4,,,,0.96063913,,185.97
Ralph Gracie,,6,1,0,175.26,83.01,,Orthodox,,0.86,37,1.72,31,0,0,25,4,,,,1.030707072,,149.69
Charlie Kohler,,8,4,1,175.26,70.31,,Orthodox,7/16/1976,0.81,33,4.31,46,0,0,0,4,,,,1.025241474,,129.27
Alberto Crane,,15,5,0,165.1,70.31,,Orthodox,7/14/1976,0.43,25,2.61,57,0,0,50,4,,,,0.980963458,,107.5
Mike Hayes,,20,12,2,193.04,104.33,,Orthodox,,4.87,55,1.47,77,0,0,75,4,,,,1.503294839,,105.69
Bruno Carvalho,,10,5,0,172.72,69.85,,,,0.6,45,0.93,53,0,0,66,4,,,,1.001394738,,349.27
Steve Byrnes,The Sergeant,6,1,0,182.88,77.11,,Orthodox,,1.2,51,2.67,27,3,60,0,4,,,,1.072446776,,89.81
Aliaskhab Khizriev,Black Wolf,14,0,0,175.26,83.91,187.96,Southpaw,8/24/1990,6.03,64,4.36,62,5.77,60,100,3.9,,,,1.640714231,,
Torrez Finney,The Punisher,7,0,0,172.72,83.91,190.5,Orthodox,10/24/1998,0.91,58,2.33,47,13.61,63,0,3.9,,,,1.038015022,,
Bill Mahood,The Butcher,20,7,1,190.5,90.72,,Orthodox,2/1/1967,1.54,85,3.59,17,0,0,0,3.9,,,,1.107371601,,
Marius Enache,,3,3,0,180.34,70.31,,,,1.71,34,0.66,84,3.94,100,0,3.9,,,,1.12777173,,
Abongo Humphrey,,7,3,0,180.34,92.99,,Orthodox,,1.45,40,3.83,46,1.41,37,33,3.8,,,,1.096247728,,
Antonio Trocoli,Malvado,12,3,0,195.58,92.99,208.28,Orthodox,12/6/1990,1.27,71,4.56,25,3.8,100,100,3.8,,,,1.074877169,,
Hector Urbina,El Toro,17,10,1,180.34,77.11,185.42,Orthodox,9/17/1987,0.97,38,2.44,39,0,0,38,3.8,,,,1.038438066,,
Gabriel Bonfim,Marretinha,15,1,0,185.42,77.11,182.88,Orthodox,8/20/1997,4.87,40,5.25,59,4.75,71,100,3.8,,,,1.50014996,,
James Wilks,Lightning,7,4,0,185.42,77.11,190.5,Orthodox,5/4/1978,1.82,45,2.03,50,1.27,22,66,3.8,,,,1.138884655,,
Assu Almabayev,Zulfikar,18,2,0,162.56,56.7,165.1,Orthodox,1/25/1994,3.18,65,0.49,77,3.67,40,0,3.7,,,,1.299050776,,
Nyamjargal Tumendemberel,Art of Knockout,8,0,0,170.18,56.7,180.34,Orthodox,3/22/1998,4.43,44,3.62,45,4.68,38,14,3.7,,,,1.445488727,,
Jaqueline Amorim,,7,1,0,160.02,52.16,172.72,Orthodox,6/24/1995,3.42,52,1.81,62,1.57,23,0,3.7,,,,1.325426026,,
HyunSung Park,Peace of Mind,8,0,0,170.18,56.7,167.64,Orthodox,11/4/1995,3.51,48,2.62,59,2.23,30,100,3.7,,,,1.335904864,,
Igor Gracie,,5,4,0,180.34,77.11,,,,1.86,60,0.99,50,3.72,50,0,3.7,,,,1.142217478,,
Brady Fink,,2,3,0,182.88,83.01,,Orthodox,,1.69,41,1.69,61,3.63,25,0,3.6,,,,1.121569908,,
Tatsuya Mizuno,,16,12,1,185.42,92.99,,Southpaw,6/2/1981,2.25,37,3.52,53,1.19,25,40,3.6,,,,1.186608255,,
Per Eklund,,14,5,1,177.8,70.31,182.88,Orthodox,,2.07,61,2.38,67,2.07,11,50,3.6,,,,1.165469859,,
Daisuke Nakamura,,28,19,1,170.18,69.85,,Orthodox,6/10/1980,0.94,30,1.38,61,0.46,40,30,3.6,,,,1.032512384,,
Brennan Ward,The Irish Bad Boy,14,5,0,177.8,77.11,180.34,,,7.2,60,2.76,52,0,0,100,3.6,,,,1.767651426,,
Ken Kaneko,,0,3,0,182.88,73.03,,Orthodox,,0,0,0.94,42,0,0,0,3.5,,,,0.921530336,,
Rolando Delgado,Roli,11,6,1,190.5,70.31,195.58,Orthodox,11/22/1981,1.56,40,1.83,62,1.17,22,0,3.5,,,,1.105856054,,
Mike King,,5,1,0,190.5,83.91,,,,4.44,58,1.29,72,1.75,25,40,3.5,,,,1.445064868,,
Kit Cope,Havoc,6,7,0,182.88,77.11,,Orthodox,3/17/1977,1.18,52,2.12,35,0,0,50,3.5,,,,1.061049425,,
Chris Sanford,,5,1,0,180.34,83.91,,Orthodox,3/12/1968,0.23,50,3.22,17,0,0,0,3.5,,,,0.949644992,,
Junie Browning,,5,6,0,175.26,70.31,,Orthodox,5/12/1984,3.76,48,1.76,66,3.53,66,0,3.5,,,,1.365063495,,
Preston Parsons,Pressure,10,4,0,180.34,77.11,180.34,Orthodox,7/15/1995,4.14,56,3.76,49,3.11,33,100,3.5,,,,1.408880688,,
Mike Budnik,,13,4,0,175.26,65.77,172.72,Orthodox,8/8/1974,0.65,52,0.95,53,0,0,0,3.4,,,,0.999219597,,
Zhang Tiequan,The Wolf,15,4,0,172.72,70.31,175.26,Orthodox,7/25/1978,1.23,36,2.14,51,1.95,58,75,3.4,,,,1.067570826,,
Shannon Gugerty,,15,7,0,177.8,70.31,180.34,Orthodox,12/30/1981,1.25,39,1.88,58,2.13,27,50,3.4,,,,1.069606986,,
Allen Berube,Monstah Lobstah,4,3,0,172.72,70.31,,Orthodox,8/25/1974,0.92,80,0.92,33,6.87,100,0,3.4,,,,1.030563716,,
Tim Credeur,,12,4,0,190.5,83.91,190.5,Orthodox,7/9/1977,3.59,30,3.13,57,0.41,100,50,3.3,,,,1.342676627,,
Daisuke Sugie,Amazon,10,8,1,167.64,72.57,,Orthodox,,0,0,0.22,80,3.27,50,0,3.3,,,,0.91993684,,
Herbert Burns,The Blaze,11,4,0,175.26,65.77,185.42,Orthodox,2/2/1988,1.61,51,4.74,30,3.92,75,60,3.3,,,,1.108758567,,
Edwin DeWees,Babyface,38,17,0,185.42,83.91,,Orthodox,8/7/1982,1.53,33,6.19,39,2.18,66,0,3.3,,,,1.098452716,,
Ricardo Romero,,11,3,0,182.88,92.99,193.04,Orthodox,4/15/1978,2.17,55,4.77,46,1.63,10,100,3.3,,,,1.173910325,,
